Band	Description
[441.98, 457.02] Hz 	Violin mode 1st harmonic
[449.89, 450.11] Hz 	Power Lines
[479.89, 480.11] Hz 	Power Lines
[499.89, 500.11] Hz 	Power Lines
[479.98, 520.02] Hz 	Violin mode 1st harmonic
[539.89, 540.11] Hz 	Power Lines
[549.89, 550.11] Hz 	Power Lines
[549.98, 561.02] Hz 	BS Violin mode 2nd harmonic
[575.08, 575.23] Hz 	Pulsar injection
[599.89, 600.11] Hz 	Power Lines
[599.89, 600.11] Hz 	Power Lines
[649.89, 650.11] Hz 	Power Lines
[659.89, 660.11] Hz 	Power Lines
[699.89, 700.11] Hz 	Power Lines
[719.89, 720.11] Hz 	Power Lines
[749.89, 750.11] Hz 	Power Lines
[763.77, 763.92] Hz 	Pulsar injection
[779.89, 780.11] Hz 	Power Lines
[799.89, 800.11] Hz 	Power Lines
[839.89, 840.11] Hz 	Power Lines
[848.83, 849.05] Hz 	Pulsar injection
[849.89, 850.11] Hz 	Power Lines
[890.02, 890.23] Hz 	Pulsar injection
[881.48, 908.52] Hz 	Violin mode 2nd harmonic
[899.89, 900.11] Hz 	Power Lines
[899.89, 900.11] Hz 	Power Lines
[949.89, 950.11] Hz 	Power Lines
[959.89, 960.11] Hz 	Power Lines
[999.89, 1000.11] Hz 	Power Lines
[959.98, 1040.02] Hz 	Violin mode 2nd harmonic
[1019.89, 1020.11] Hz 	Power Lines
[1049.89, 1050.11] Hz 	Power Lines
[1079.89, 1080.11] Hz 	Power Lines
[1082.58, 1083.61] Hz 	L1 calibration line
[1099.89, 1100.11] Hz 	Power Lines
[1139.89, 1140.11] Hz 	Power Lines
[1149.89, 1150.11] Hz 	Power Lines
[1199.89, 1200.11] Hz 	Power Lines
[1199.89, 1200.11] Hz 	Power Lines
[1220.27, 1220.55] Hz 	Pulsar injection
[1249.89, 1250.11] Hz 	Power Lines
[1259.89, 1260.11] Hz 	Power Lines
[1299.89, 1300.11] Hz 	Power Lines
[1319.89, 1320.11] Hz 	Power Lines
[1325.48, 1360.52] Hz 	Violin mode 3rd harmonic
[1349.89, 1350.11] Hz 	Power Lines
[1379.89, 1380.11] Hz 	Power Lines
[1389.86, 1390.95] Hz 	Pulsar injection
[1399.89, 1400.11] Hz 	Power Lines
[1439.89, 1440.11] Hz 	Power Lines
[1449.89, 1450.11] Hz 	Power Lines
[1454.98, 1540.02] Hz 	Violin mode 3rd harmonic
[1499.89, 1500.11] Hz 	Power Lines
[1499.89, 1500.11] Hz 	Power Lines
[1549.89, 1550.11] Hz 	Power Lines
[1559.89, 1560.11] Hz 	Power Lines
[1599.89, 1600.11] Hz 	Power Lines
[1619.89, 1620.11] Hz 	Power Lines
[1649.89, 1650.11] Hz 	Power Lines
[1679.89, 1680.11] Hz 	Power Lines
[1699.89, 1700.11] Hz 	Power Lines
[1773.98, 1814.02] Hz 	Violin mode 4th harmonic
[1900.42, 1900.58] Hz 	V1 WE PCAL calibration line
[1990.89, 1991.30] Hz 	Pulsar injection
[2012.42, 2012.58] Hz 	V1 PR,BS,NI,NE,WI,WI EM calibration line
[2191.98, 2256.02] Hz 	Violin mode 5th harmonic
[2990.77, 2991.42] Hz 	Pulsar injection
